community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
B05,C.A.U.S.A. Festival Garden,790 Blake Avenue,0.168,East New York,40.668623,-73.889471,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X05,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,NA,NA,40.851414,-73.918533,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,66,34,46,20,34,65,34,37,79.9,67,1281900,1281900,206500
X04,C.E.S. 126 - Literacy Garden,175 W 166th Street,NA,NA,40.835784,-73.928324,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
X03,C.E.S. 55,450 St. Pauls Place,NA,Mt. Eden,40.836404,-73.905014,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
X04,C.E.S. 73,1020 Anderson Avenue,NA,NA,40.832706,-73.926838,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
X03,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,0.161,Morrisania,40.831035,-73.89477,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
M10,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,NA,40.810928,-73.948938,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
M10,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,NA,NA,NA,NA,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
X06,C.S. 57 - Garden of Hope,2111 Crotona Avenue,NA,NA,40.848472,-73.888561,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
X06,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,NA,Tremont,40.840755,-73.881707,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
X03,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,0.055,NA,40.836575,-73.892817,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
Q13,Cambria Heights Civic Association,227th Street,0.207,Cambria Heights,NA,NA,Queens,Queens Village,193787,12,56,18,12,3,20,9,26,29,16,83,13,49,38,13,50,27,37,82.9,74,5823877.79403794,5823280.471544716,293797.5
M03,CAMPOS,640-644 East 12th Street,0.119,East Village,40.727318,-73.977194,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M11,Carolina Garden / formerly 116th Street Block Association,122nd Street,0.063,East Harlem,NA,NA,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X12,Carpenter Avenue Community Garden,in East 239th Street,NA,Wakefield,NA,NA,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,70,20,48,32,23,57,30,39,81,78,1659034,1655369.707070707,NA
M10,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059,NA,40.804436,-73.952746,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B06,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,0.069,NA,40.676396,-73.984555,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
M11,Carver Community Garden,236-242 East 124th Street,0.275,East Harlem,40.802632,-73.935399,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X01,Cauldwell Youth Garden,551 Cauldwell Avenue,0.119,Mott Haven,40.814133,-73.910779,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B03,Cedar Tree Garden,305 Greene Avenue,0.177,NA,40.687514,-73.958923,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,0.112,Bed-Stuy,40.681591,-73.925688,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M11,Chenchitas Group Garden,1691-93 Madison Avenue,0.053,East Harlem,40.797308,-73.946792,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M10,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,NA,40.802366,-73.94642,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B03,Citizens for a Better Community,127 Patchen Avenue,0.299,Bed-Stuy,40.687548,-73.926979,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M02,City-As-School H.S.,16 Clarkson Street,0.11,West Village,40.729412,-74.006148,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,2488090.46275395,2477900.0970654627,267500
B05,Clara's Garden,573-579 Glenmore Avenue,0.043,East New York,40.674214,-73.889148,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X04,Claremont Neighborhood Garden,1280 Teller Avenue,0.19,NA,40.834051,-73.910553,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
B03,Classon/Fulgate Block Association,474 Classon Avenue,0.115,NA,40.683943,-73.959033,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X04,Clay Avenue Community Garden,1328-1332 Clay Avenue,0.033,NA,40.835309,-73.908936,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
M10,Clayton Williams Garden,303 W 126th Street,0.057,NA,40.810959,-73.950928,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B05,Cleveland Street Vegetable Garden,433-435 Cleveland Street,0.057,East New York,40.674162,-73.884339,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B02,Clifton Place Garden,289 Grand Avenue,0.086,NA,40.687639,-73.962648,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B03,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,0.165,NA,40.688603,-73.954945,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X06,Clinton Avenue Block Association,757 East 179th Street,0.115,NA,40.845858,-73.888049,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
M04,Clinton Community Garden,436 West 48th Street,0.35,Hell's Kitchen,40.762717,-73.991026,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,2546139.053617021,3097573.049361702,297500
X04,College Avenue GreenThumb,1420 College Avenue,0.43,NA,40.838033,-73.91027,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
M10,Colonial Gardeners,304-306 West 150th St,NA,NA,40.826069,-73.939785,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
M03,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.058,Lower East Side,40.72017,-73.984289,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B04,Concerned Citizens of Grove Street,72-74 Grove Street,0.11,Bushwick,40.692238,-73.92181,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B05,Concerned Residents of Barbey Street,606 Glenmore Avenue,0.057,NA,40.674396,-73.887803,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B05,Concerned Residents of Montauk Avenue,214 Montauk Avenue,0.091,East New York,40.673887,-73.87789,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M08,Life Sciences High School,320 96th Street NY NY 10128,NA,Upper East Side,NA,NA,Manhattan,Upper East Side,225914,78,3,10,7,2,14,5,37,24,20,91,3,14,83,7,41,11,15,85.9,89,3081325.7633949737,3067887.79943101,372727.2727272727
